"Indexcd","Idxtrd01","Idxtrd08"
"000300","2009-05-05","0.468300"
"000300","2009-05-06","1.392400"
"000300","2009-05-07","0.075900"
"000300","2009-05-08","0.800100"
"000300","2009-05-11","-2.291000"
"000300","2009-05-12","2.320500"
"000300","2009-05-13","0.912700"
"000300","2009-05-14","-0.760800"
"000300","2009-05-15","0.126000"
"000300","2009-05-18","0.516800"
"000300","2009-05-19","1.050000"
"000300","2009-05-20","-0.958100"
"000300","2009-05-21","-2.234700"
"000300","2009-05-22","-0.339300"
"000300","2009-05-25","0.439300"
"000300","2009-05-26","-1.197400"
"000300","2009-05-27","1.468900"
"000300","2009-06-01","3.573900"
"000300","2009-06-02","0.236500"
"000300","2009-06-03","2.592900"
"000300","2009-06-04","0.488500"
"000300","2009-06-05","-0.488900"
"000300","2009-06-08","0.312000"
"000300","2009-06-09","0.409700"
"000300","2009-06-10","0.980900"
"000300","2009-06-11","-0.935600"
"000300","2009-06-12","-1.868600"
"000300","2009-06-15","2.061000"
"000300","2009-06-16","-0.167600"
"000300","2009-06-17","1.667200"
"000300","2009-06-18","1.555800"
"000300","2009-06-19","0.738200"
"000300","2009-06-22","0.083100"
"000300","2009-06-23","0.043500"
"000300","2009-06-24","1.194300"
"000300","2009-06-25","-0.090000"
"000300","2009-06-26","0.336800"
"000300","2009-06-29","1.647800"
"000300","2009-06-30","-0.424500"
"000300","2009-07-01","2.255800"
"000300","2009-07-02","1.373100"
"000300","2009-07-03","1.364300"
"000300","2009-07-06","1.431000"
"000300","2009-07-07","-1.015200"
"000300","2009-07-08","0.352600"
"000300","2009-07-09","1.313400"
"000300","2009-07-10","0.059200"
"000300","2009-07-13","-1.097600"
"000300","2009-07-14","2.789000"
"000300","2009-07-15","1.116100"
"000300","2009-07-16","0.227000"
"000300","2009-07-17","0.530400"
"000300","2009-07-20","2.026000"
"000300","2009-07-21","-1.428200"
"000300","2009-07-22","1.895300"
"000300","2009-07-23","1.249000"
"000300","2009-07-24","0.426900"
"000300","2009-07-27","2.074100"
"000300","2009-07-28","0.325600"
"000300","2009-07-29","-5.253400"
"000300","2009-07-30","2.144400"
"000300","2009-07-31","2.745700"
"000300","2009-08-03","1.403400"
"000300","2009-08-04","-0.010800"
"000300","2009-08-05","-1.206400"
"000300","2009-08-06","-2.080200"
"000300","2009-08-07","-2.948900"
"000300","2009-08-10","-0.297000"
"000300","2009-08-11","0.334000"
"000300","2009-08-12","-4.470300"
"000300","2009-08-13","1.278000"
"000300","2009-08-14","-2.800500"
"000300","2009-08-17","-6.105300"
"000300","2009-08-18","1.010100"
"000300","2009-08-19","-4.962800"
"000300","2009-08-20","4.306400"
"000300","2009-08-21","1.883700"
"000300","2009-08-24","0.811000"
"000300","2009-08-25","-3.708500"
"000300","2009-08-26","2.011700"
"000300","2009-08-27","-0.507200"
"000300","2009-08-28","-3.469900"
"000300","2009-08-31","-7.106200"
"000300","2009-09-01","0.474500"
"000300","2009-09-02","1.660900"
"000300","2009-09-03","5.570200"
"000300","2009-09-04","0.825000"
"000300","2009-09-07","0.879700"
"000300","2009-09-08","2.150600"
"000300","2009-09-09","0.755000"
"000300","2009-09-10","-1.001600"
"000300","2009-09-11","2.378200"
"000300","2009-09-14","1.706500"
"000300","2009-09-15","0.280900"
"000300","2009-09-16","-1.344400"
"000300","2009-09-17","1.898600"
"000300","2009-09-18","-3.626700"
"000300","2009-09-21","0.278500"
"000300","2009-09-22","-2.417600"
"000300","2009-09-23","-2.266300"
"000300","2009-09-24","0.681700"
"000300","2009-09-25","-0.727100"
"000300","2009-09-28","-2.808200"
"000300","2009-09-29","-0.011800"
"000300","2009-09-30","1.094100"
"000300","2009-10-09","5.288200"
"000300","2009-10-12","-0.381800"
"000300","2009-10-13","1.487800"
"000300","2009-10-14","0.902900"
"000300","2009-10-15","0.379300"
"000300","2009-10-16","0.063900"
"000300","2009-10-19","2.697700"
"000300","2009-10-20","1.454100"
"000300","2009-10-21","-0.245100"
"000300","2009-10-22","-0.652100"
"000300","2009-10-23","1.969600"
"000300","2009-10-26","0.029000"
"000300","2009-10-27","-2.914900"
"000300","2009-10-28","0.440800"
"000300","2009-10-29","-2.471400"
"000300","2009-10-30","1.026200"
"000300","2009-11-02","3.427400"
